"Year","Fruit","Variety","Area_harvested_ha","Yield_t_per_ha","Production_tons","Average_Temperature_C","Rainfall_mm","Pest_Incidence_Index","Irrigation_Water_m3_per_ha","Productivity","Growth_Percent","Disease_Class","NDVI_Index","Soil_Moisture_pct","GDD_Base10","Reference_ETo_mm","Notes","Prod_total_orig"
2009,"Peaches","Elberta",43.48,10.8,469.59,23.73,282,0.41,3136,,59.55,"Bacterial",0.599,10.05,3156,354.4,"@ data entry check",20885.81
2010,"Peaches","Elberta",113.66,7.89,897.18,16.2,324.6,0.17,2881,0.588,60.96,"None",0.683,9.46,1448,342.3,"@",15056.82
2011,"Peaches","Elberta",394.65,18.01,7108.28,18.46,259.1,0.41,3364,1.223,58.28,"Bacterial",0.587,9.06,2356,357.2,"@ anomaly",20267.64
2012,"Peaches","Elberta",65.15,12.55,817.89,18.6,364.8,0.26,2498,0.915,60.75,"Fungal",0.78,9.14,2419,337.3,"@ data entry check",30217.13
2013,"Peaches","Elberta",149.33,13.24,1976.58,22.54,341.7,0.34,2657,0.831,61.79,"Fungal",0.67,9.11,2669,350.5,"@ anomaly",14914.02
2014,"Peaches","Elberta",123.21,12.05,1485.09,17.24,302,0.34,2849,0.855,62.61,"Bacterial",0.652,7.69,1510,352.2,"@ ok",12378.97
2015,"Peaches","Elberta",1190.39,13.18,15695.2,18.51,289,0.51,3101,0.933,59.64,"Bacterial",0.68,9.46,2172,354.8,"@ missing-field flag",35885.75
2016,"Peaches","Elberta",291.9,9.76,2847.71,12.85,292.6,0.2,2997,0.659,56.07,"None",0.623,6.31,997,352.8,"@ anomaly",27499.6
2017,"Peaches","Elberta",347.99,7.46,2594.62,18.43,319.3,0.19,2707,0.547,57.78,"None",0.673,9,1687,332,"@ missing-field flag",19477.48
2018,"Peaches","Elberta",147.56,11.44,1687.71,25.19,293,0.27,3127,0.7,58.26,"Bacterial",0.612,6.77,3200,356.7,"@",24607.3
2019,"Peaches","Elberta",566.63,3.52,1995.15,19.8,260.7,0.53,3363,0.217,58.01,"Bacterial",0.507,8.45,2958,373.9,"@",8151.12
2020,"Peaches","Elberta",217.95,9.37,2042.52,18.6,276.3,0.32,3185,0.576,56.55,"Bacterial",0.611,10.07,2434,336.3,"@ data entry check",26027
2022,"Peaches","Elberta",233.14,8.88,2069.94,21.43,280.2,0.43,3201,0.554,57,"Bacterial",0.655,8.61,2945,346,"@",9373.42
2023,"Peaches","Elberta",96.35,10.21,983.73,23.26,344.2,0.38,2588,0.675,60.52,"Fungal",0.702,8.34,3222,350.8,"@ missing-field flag",
2023,"Peaches","Elberta",96.35,10.21,983.73,23.26,344.2,0.38,2588,0.675,62.27,"Fungal",0.702,8.34,3222,350.8,"@ missing-field flag",27155.27
2023,"Peaches","Elberta",834.1,11.14,9291.87,14.4,244.7,0.58,3642,0.697,58.02,"Bacterial",0.499,9.72,1664,342.4,"@ anomaly",
2023,"Peaches","Elberta",834.1,11.14,9291.87,14.4,244.7,0.58,3642,0.697,52.51,"Bacterial",0.499,9.72,1664,342.4,"@ anomaly",27155.27
1995,"Peaches","Glohaven",9.79,11.9,116.54,14.46,294,0.44,3141,0.991,52.28,"Bacterial",0.616,7.54,1621,366.3,"@  reviewed",11337.52
1996,"Peaches","Glohaven",110.54,15.85,1751.81,16.32,302.4,0.41,2974,1.303,54.08,"Bacterial",0.654,7.95,1628,349.6,"@ missing-field flag",14799.07
1997,"Peaches","Glohaven",96.29,19.82,1908.16,19.82,311.9,0.31,2947,1.507,56.7,"Bacterial",0.657,9.84,2047,342,"@ missing-field flag",29582.27
1998,"Peaches","Glohaven",749.47,15.89,11909.16,13.3,351.9,0.42,2575,1.228,58.1,"Fungal",0.701,9.65,1334,375.7,"@ missing-field flag",25732.99
1999,"Peaches","Glohaven",70.67,13.56,958.55,14.42,285.9,0.39,3106,1.069,56.93,"Bacterial",0.583,8.34,1859,355.8,"@ ok",23800.63
2000,"Peaches","Glohaven",583.4,13.96,8146.34,19.86,347.7,0.45,2447,1.271,57.2,"Fungal",0.718,9.64,2929,345.6,"@",30913.17
2001,"Peaches","Glohaven",17.25,12.21,210.55,12.76,338,0.32,2778,1.017,57.2,"Fungal",0.68,9.38,881,344.4,"@  reviewed",13280.2
2002,"Peaches","Glohaven",535.32,16.87,9030.34,14.77,340.6,0.35,2484,1.322,59.69,"Fungal",0.775,9.32,704,337.1,"@",33594.98
2003,"Peaches","Glohaven",771.82,19.39,14962.62,10.78,318.8,0.43,2941,1.548,56.37,"Bacterial",0.675,11.46,876,356.5,"@",42404.08
2004,"Peaches","Glohaven",31,11.71,362.87,24.64,353.7,0.45,2407,0.917,58.24,"Fungal",0.723,8.5,3072,354.5,"@",20080.82
2005,"Peaches","Glohaven",691.94,12.73,8809.81,18.84,322.9,0.19,2783,0.919,59.34,"None",0.672,9.7,2119,365.8,"@ anomaly",26659.07
2006,"Peaches","Glohaven",231.12,10.85,2507.3,18.6,333.3,0.34,2689,0.869,62.7,"Fungal",0.756,9.71,2585,363.7,"@",20591.35
2007,"Peaches","Glohaven",317.65,11.65,3701.52,22.58,259.1,0.42,3318,0.895,61.02,"Bacterial",0.56,8.64,3253,362.3,"@",22705.77
2008,"Peaches","Glohaven",79.21,11.16,884.35,13.77,392.3,0.16,2497,0.885,61,"None",0.783,7.4,1410,361.6,"@ missing-field flag",26079.6
2009,"Peaches","Glohaven",1.14,9.89,11.27,23.73,282,0.41,3136,,59.55,"Bacterial",0.599,10.05,3156,354.4,"@ data entry check",20885.81
2010,"Peaches","Glohaven",247.88,7.54,1869.36,16.2,324.6,0.17,2881,0.562,60.96,"None",0.683,9.46,1448,342.3,"@",15056.82
2011,"Peaches","Glohaven",31.63,16.6,524.9,18.46,259.1,0.41,3364,1.127,58.28,"Bacterial",0.587,9.06,2356,357.2,"@ anomaly",20267.64
2012,"Peaches","Glohaven",10.15,12.25,124.31,18.6,364.8,0.26,2498,0.893,60.75,"Fungal",0.78,9.14,2419,337.3,"@ data entry check",30217.13
2013,"Peaches","Glohaven",72.36,14.77,1068.95,22.54,341.7,0.34,2657,0.928,61.79,"Fungal",0.67,9.11,2669,350.5,"@ anomaly",14914.02
2014,"Peaches","Glohaven",244.79,11.03,2700.1,17.24,302,0.34,2849,0.783,62.61,"Bacterial",0.652,7.69,1510,352.2,"@ ok",12378.97
2015,"Peaches","Glohaven",110.94,13.94,1547.04,18.51,289,0.51,3101,0.987,59.64,"Bacterial",0.68,9.46,2172,354.8,"@ missing-field flag",35885.75
2016,"Peaches","Glohaven",347.56,9.98,3468.42,12.85,292.6,0.2,2997,0.674,56.07,"None",0.623,6.31,997,352.8,"@ anomaly",27499.6
2017,"Peaches","Glohaven",190.53,7.49,1426.36,18.43,319.3,0.19,2707,0.549,57.78,"None",0.673,9,1687,332,"@ missing-field flag",19477.48
2018,"Peaches","Glohaven",699.18,11.09,7754.28,25.19,293,0.27,3127,0.678,58.26,"Bacterial",0.612,6.77,3200,356.7,"@",24607.3
2019,"Peaches","Glohaven",155.91,3.4,529.48,19.8,260.7,0.53,3363,0.21,58.01,"Bacterial",0.507,8.45,2958,373.9,"@",8151.12
2020,"Peaches","Glohaven",50.26,10.06,505.47,18.6,276.3,0.32,3185,0.618,56.55,"Bacterial",0.611,10.07,2434,336.3,"@ data entry check",26027
2022,"Peaches","Glohaven",55.53,9.13,507.07,21.43,280.2,0.43,3201,0.57,57,"Bacterial",0.655,8.61,2945,346,"@",9373.42
2023,"Peaches","Glohaven",51.65,10.37,535.61,23.26,344.2,0.38,2588,0.685,60.52,"Fungal",0.702,8.34,3222,350.8,"@ missing-field flag",
2023,"Peaches","Glohaven",51.65,10.37,535.61,23.26,344.2,0.38,2588,0.685,62.27,"Fungal",0.702,8.34,3222,350.8,"@ missing-field flag",27155.27
2023,"Peaches","Glohaven",102.18,10.26,1048.37,14.4,244.7,0.58,3642,0.642,58.02,"Bacterial",0.499,9.72,1664,342.4,"@ anomaly",
2023,"Peaches","Glohaven",102.18,10.26,1048.37,14.4,244.7,0.58,3642,0.642,52.51,"Bacterial",0.499,9.72,1664,342.4,"@ anomaly",27155.27
1995,"Peaches","Julyprince",100.65,12.9,1298.8,14.46,294,0.44,3141,1.074,52.28,"Bacterial",0.616,7.54,1621,366.3,"@  reviewed",11337.52
1996,"Peaches","Julyprince",0.08,15.25,1.22,16.32,302.4,0.41,2974,1.254,54.08,"Bacterial",0.654,7.95,1628,349.6,"@ missing-field flag",14799.07
1997,"Peaches","Julyprince",292.87,18.42,5394.37,19.82,311.9,0.31,2947,1.401,56.7,"Bacterial",0.657,9.84,2047,342,"@ missing-field flag",29582.27
1998,"Peaches","Julyprince",359.35,16.32,5865.32,13.3,351.9,0.42,2575,1.261,58.1,"Fungal",0.701,9.65,1334,375.7,"@ missing-field flag",25732.99
1999,"Peaches","Julyprince",67.06,13.69,917.72,14.42,285.9,0.39,3106,1.079,56.93,"Bacterial",0.583,8.34,1859,355.8,"@ ok",23800.63
2000,"Peaches","Julyprince",248.56,14.35,3566.07,19.86,347.7,0.45,2447,1.307,57.2,"Fungal",0.718,9.64,2929,345.6,"@",30913.17
2001,"Peaches","Julyprince",124.64,10.77,1342.54,12.76,338,0.32,2778,0.897,57.2,"Fungal",0.68,9.38,881,344.4,"@  reviewed",13280.2
2002,"Peaches","Julyprince",62.83,16.77,1053.54,14.77,340.6,0.35,2484,1.314,59.69,"Fungal",0.775,9.32,704,337.1,"@",33594.98
2003,"Peaches","Julyprince",200.58,18.81,3773.58,10.78,318.8,0.43,2941,1.502,56.37,"Bacterial",0.675,11.46,876,356.5,"@",42404.08
2004,"Peaches","Julyprince",133.64,12.09,1615.14,24.64,353.7,0.45,2407,0.947,58.24,"Fungal",0.723,8.5,3072,354.5,"@",20080.82
2005,"Peaches","Julyprince",217.08,12.21,2650.84,18.84,322.9,0.19,2783,0.882,59.34,"None",0.672,9.7,2119,365.8,"@ anomaly",26659.07
2006,"Peaches","Julyprince",195.38,13.06,2552.18,18.6,333.3,0.34,2689,1.046,62.7,"Fungal",0.756,9.71,2585,363.7,"@",20591.35
2007,"Peaches","Julyprince",370.1,12.52,4632.85,22.58,259.1,0.42,3318,0.961,61.02,"Bacterial",0.56,8.64,3253,362.3,"@",22705.77
2008,"Peaches","Julyprince",642.85,12.34,7930.98,13.77,392.3,0.16,2497,0.978,61,"None",0.783,7.4,1410,361.6,"@ missing-field flag",26079.6
2009,"Peaches","Julyprince",141.19,10.42,1471.84,23.73,282,0.41,3136,,59.55,"Bacterial",0.599,10.05,3156,354.4,"@ data entry check",20885.81
2010,"Peaches","Julyprince",68.8,8.2,563.93,16.2,324.6,0.17,2881,0.611,60.96,"None",0.683,9.46,1448,342.3,"@",15056.82
2011,"Peaches","Julyprince",437.49,16.87,7380.67,18.46,259.1,0.41,3364,1.145,58.28,"Bacterial",0.587,9.06,2356,357.2,"@ anomaly",20267.64
2012,"Peaches","Julyprince",577.7,11.56,6675.66,18.6,364.8,0.26,2498,0.842,60.75,"Fungal",0.78,9.14,2419,337.3,"@ data entry check",30217.13
2013,"Peaches","Julyprince",132.76,14.99,1989.57,22.54,341.7,0.34,2657,0.941,61.79,"Fungal",0.67,9.11,2669,350.5,"@ anomaly",14914.02
2014,"Peaches","Julyprince",388.88,10.97,4265.82,17.24,302,0.34,2849,0.778,62.61,"Bacterial",0.652,7.69,1510,352.2,"@ ok",12378.97
2015,"Peaches","Julyprince",586.88,13.78,8085.48,18.51,289,0.51,3101,0.975,59.64,"Bacterial",0.68,9.46,2172,354.8,"@ missing-field flag",35885.75
2016,"Peaches","Julyprince",354.21,10.32,3657.16,12.85,292.6,0.2,2997,0.697,56.07,"None",0.623,6.31,997,352.8,"@ anomaly",27499.6
2017,"Peaches","Julyprince",226.12,8.19,1852.49,18.43,319.3,0.19,2707,0.6,57.78,"None",0.673,9,1687,332,"@ missing-field flag",19477.48
2018,"Peaches","Julyprince",19.43,12.08,234.74,25.19,293,0.27,3127,0.739,58.26,"Bacterial",0.612,6.77,3200,356.7,"@",24607.3
2019,"Peaches","Julyprince",252.26,3.44,867.21,19.8,260.7,0.53,3363,0.212,58.01,"Bacterial",0.507,8.45,2958,373.9,"@",8151.12
2020,"Peaches","Julyprince",367.73,10.62,3905.19,18.6,276.3,0.32,3185,0.653,56.55,"Bacterial",0.611,10.07,2434,336.3,"@ data entry check",26027
2022,"Peaches","Julyprince",57.91,8.22,475.86,21.43,280.2,0.43,3201,0.513,57,"Bacterial",0.655,8.61,2945,346,"@",9373.42
2023,"Peaches","Julyprince",869.8,11.33,9854.83,23.26,344.2,0.38,2588,0.749,60.52,"Fungal",0.702,8.34,3222,350.8,"@ missing-field flag",
2023,"Peaches","Julyprince",869.8,11.33,9854.83,23.26,344.2,0.38,2588,0.749,62.27,"Fungal",0.702,8.34,3222,350.8,"@ missing-field flag",27155.27
2023,"Peaches","Julyprince",225.4,10.78,2429.81,14.4,244.7,0.58,3642,0.675,58.02,"Bacterial",0.499,9.72,1664,342.4,"@ anomaly",
2023,"Peaches","Julyprince",225.4,10.78,2429.81,14.4,244.7,0.58,3642,0.675,52.51,"Bacterial",0.499,9.72,1664,342.4,"@ anomaly",27155.27
1995,"Peaches","O'Henry",152.17,12.6,1916.89,14.46,294,0.44,3141,1.049,52.28,"Bacterial",0.616,7.54,1621,366.3,"@  reviewed",11337.52
1996,"Peaches","O'Henry",132.49,15.29,2026.19,16.32,302.4,0.41,2974,1.257,54.08,"Bacterial",0.654,7.95,1628,349.6,"@ missing-field flag",14799.07
1997,"Peaches","O'Henry",91.19,18.41,1678.69,19.82,311.9,0.31,2947,1.4,56.7,"Bacterial",0.657,9.84,2047,342,"@ missing-field flag",29582.27
1998,"Peaches","O'Henry",101.76,16.06,1634.35,13.3,351.9,0.42,2575,1.241,58.1,"Fungal",0.701,9.65,1334,375.7,"@ missing-field flag",25732.99
1999,"Peaches","O'Henry",16.07,12.9,207.25,14.42,285.9,0.39,3106,1.017,56.93,"Bacterial",0.583,8.34,1859,355.8,"@ ok",23800.63
2000,"Peaches","O'Henry",114.99,14.36,1650.92,19.86,347.7,0.45,2447,1.307,57.2,"Fungal",0.718,9.64,2929,345.6,"@",30913.17
2001,"Peaches","O'Henry",68.73,12.22,839.62,12.76,338,0.32,2778,1.018,57.2,"Fungal",0.68,9.38,881,344.4,"@  reviewed",13280.2
2002,"Peaches","O'Henry",74.21,16.32,1211.42,14.77,340.6,0.35,2484,1.279,59.69,"Fungal",0.775,9.32,704,337.1,"@",33594.98
2003,"Peaches","O'Henry",39.49,21.31,841.36,10.78,318.8,0.43,2941,1.702,56.37,"Bacterial",0.675,11.46,876,356.5,"@",42404.08
2004,"Peaches","O'Henry",250.8,12.13,3043.32,24.64,353.7,0.45,2407,0.95,58.24,"Fungal",0.723,8.5,3072,354.5,"@",20080.82
2005,"Peaches","O'Henry",369.03,13.22,4879.77,18.84,322.9,0.19,2783,0.954,59.34,"None",0.672,9.7,2119,365.8,"@ anomaly",26659.07
2006,"Peaches","O'Henry",214.35,13.91,2982.02,18.6,333.3,0.34,2689,1.114,62.7,"Fungal",0.756,9.71,2585,363.7,"@",20591.35
2007,"Peaches","O'Henry",156.79,12.13,1901.87,22.58,259.1,0.42,3318,0.931,61.02,"Bacterial",0.56,8.64,3253,362.3,"@",22705.77
2008,"Peaches","O'Henry",92.26,11.14,1028.17,13.77,392.3,0.16,2497,0.883,61,"None",0.783,7.4,1410,361.6,"@ missing-field flag",26079.6
2009,"Peaches","O'Henry",1267.19,10.71,13575.79,23.73,282,0.41,3136,,59.55,"Bacterial",0.599,10.05,3156,354.4,"@ data entry check",20885.81
2010,"Peaches","O'Henry",332.52,7.99,2657.29,16.2,324.6,0.17,2881,0.596,60.96,"None",0.683,9.46,1448,342.3,"@",15056.82
2011,"Peaches","O'Henry",60.22,18.76,1129.68,18.46,259.1,0.41,3364,1.274,58.28,"Bacterial",0.587,9.06,2356,357.2,"@ anomaly",20267.64
2012,"Peaches","O'Henry",152.56,13.04,1989.13,18.6,364.8,0.26,2498,0.95,60.75,"Fungal",0.78,9.14,2419,337.3,"@ data entry check",30217.13
2013,"Peaches","O'Henry",170.5,13.62,2322.71,22.54,341.7,0.34,2657,0.855,61.79,"Fungal",0.67,9.11,2669,350.5,"@ anomaly",14914.02
2014,"Peaches","O'Henry",52.58,11.23,590.62,17.24,302,0.34,2849,0.797,62.61,"Bacterial",0.652,7.69,1510,352.2,"@ ok",12378.97
2015,"Peaches","O'Henry",202.41,12.54,2538.92,18.51,289,0.51,3101,0.888,59.64,"Bacterial",0.68,9.46,2172,354.8,"@ missing-field flag",35885.75
2016,"Peaches","O'Henry",247,11.27,2783.68,12.85,292.6,0.2,2997,0.761,56.07,"None",0.623,6.31,997,352.8,"@ anomaly",27499.6
2017,"Peaches","O'Henry",548.3,7.64,4187.7,18.43,319.3,0.19,2707,0.56,57.78,"None",0.673,9,1687,332,"@ missing-field flag",19477.48
2018,"Peaches","O'Henry",431.39,11.89,5130.67,25.19,293,0.27,3127,0.727,58.26,"Bacterial",0.612,6.77,3200,356.7,"@",24607.3
2019,"Peaches","O'Henry",1012.98,3.44,3482.36,19.8,260.7,0.53,3363,0.212,58.01,"Bacterial",0.507,8.45,2958,373.9,"@",8151.12
2020,"Peaches","O'Henry",359.31,10.25,3683.43,18.6,276.3,0.32,3185,0.63,56.55,"Bacterial",0.611,10.07,2434,336.3,"@ data entry check",26027
2022,"Peaches","O'Henry",46.41,7.79,361.5,21.43,280.2,0.43,3201,0.486,57,"Bacterial",0.655,8.61,2945,346,"@",9373.42
2023,"Peaches","O'Henry",16.74,11.03,184.64,23.26,344.2,0.38,2588,0.729,60.52,"Fungal",0.702,8.34,3222,350.8,"@ missing-field flag",
2023,"Peaches","O'Henry",16.74,11.03,184.64,23.26,344.2,0.38,2588,0.729,62.27,"Fungal",0.702,8.34,3222,350.8,"@ missing-field flag",27155.27
2023,"Peaches","O'Henry",107.87,11.05,1191.96,14.4,244.7,0.58,3642,0.692,58.02,"Bacterial",0.499,9.72,1664,342.4,"@ anomaly",
2023,"Peaches","O'Henry",107.87,11.05,1191.96,14.4,244.7,0.58,3642,0.692,52.51,"Bacterial",0.499,9.72,1664,342.4,"@ anomaly",27155.27
1995,"Peaches","Redhaven",30.73,11.45,351.81,14.46,294,0.44,3141,0.953,52.28,"Bacterial",0.616,7.54,1621,366.3,"@  reviewed",11337.52
1996,"Peaches","Redhaven",191.28,15.44,2953.68,16.32,302.4,0.41,2974,1.269,54.08,"Bacterial",0.654,7.95,1628,349.6,"@ missing-field flag",14799.07
1997,"Peaches","Redhaven",118.64,20.65,2449.85,19.82,311.9,0.31,2947,1.57,56.7,"Bacterial",0.657,9.84,2047,342,"@ missing-field flag",29582.27
1998,"Peaches","Redhaven",165.55,14.24,2357.9,13.3,351.9,0.42,2575,1.1,58.1,"Fungal",0.701,9.65,1334,375.7,"@ missing-field flag",25732.99
1999,"Peaches","Redhaven",560.37,14.31,8019.87,14.42,285.9,0.39,3106,1.128,56.93,"Bacterial",0.583,8.34,1859,355.8,"@ ok",23800.63
2000,"Peaches","Redhaven",2.88,14.57,41.96,19.86,347.7,0.45,2447,1.327,57.2,"Fungal",0.718,9.64,2929,345.6,"@",30913.17
2001,"Peaches","Redhaven",75.37,11.86,893.69,12.76,338,0.32,2778,0.988,57.2,"Fungal",0.68,9.38,881,344.4,"@  reviewed",13280.2
2002,"Peaches","Redhaven",562.13,16.5,9272.77,14.77,340.6,0.35,2484,1.293,59.69,"Fungal",0.775,9.32,704,337.1,"@",33594.98
2003,"Peaches","Redhaven",219.61,19.41,4261.81,10.78,318.8,0.43,2941,1.55,56.37,"Bacterial",0.675,11.46,876,356.5,"@",42404.08
2004,"Peaches","Redhaven",511.65,11.27,5764.76,24.64,353.7,0.45,2407,0.883,58.24,"Fungal",0.723,8.5,3072,354.5,"@",20080.82
2005,"Peaches","Redhaven",235.54,12.45,2931.8,18.84,322.9,0.19,2783,0.899,59.34,"None",0.672,9.7,2119,365.8,"@ anomaly",26659.07
2006,"Peaches","Redhaven",16.32,12.3,200.8,18.6,333.3,0.34,2689,0.985,62.7,"Fungal",0.756,9.71,2585,363.7,"@",20591.35
2007,"Peaches","Redhaven",159.78,11.74,1876.18,22.58,259.1,0.42,3318,0.901,61.02,"Bacterial",0.56,8.64,3253,362.3,"@",22705.77
2008,"Peaches","Redhaven",135.36,11.42,1545.75,13.77,392.3,0.16,2497,0.906,61,"None",0.783,7.4,1410,361.6,"@ missing-field flag",26079.6
2009,"Peaches","Redhaven",72.47,10.07,729.66,23.73,282,0.41,3136,,59.55,"Bacterial",0.599,10.05,3156,354.4,"@ data entry check",20885.81
2010,"Peaches","Redhaven",96.48,8.39,809.7,16.2,324.6,0.17,2881,0.626,60.96,"None",0.683,9.46,1448,342.3,"@",15056.82
2011,"Peaches","Redhaven",52.23,17.8,929.95,18.46,259.1,0.41,3364,1.209,58.28,"Bacterial",0.587,9.06,2356,357.2,"@ anomaly",20267.64
2012,"Peaches","Redhaven",739.59,13,9613.78,18.6,364.8,0.26,2498,0.947,60.75,"Fungal",0.78,9.14,2419,337.3,"@ data entry check",30217.13
2013,"Peaches","Redhaven",189.66,14.87,2821.07,22.54,341.7,0.34,2657,0.934,61.79,"Fungal",0.67,9.11,2669,350.5,"@ anomaly",14914.02
2014,"Peaches","Redhaven",32.87,10.45,343.59,17.24,302,0.34,2849,0.742,62.61,"Bacterial",0.652,7.69,1510,352.2,"@ ok",12378.97
2015,"Peaches","Redhaven",165.76,14.19,2352.39,18.51,289,0.51,3101,1.004,59.64,"Bacterial",0.68,9.46,2172,354.8,"@ missing-field flag",35885.75
2016,"Peaches","Redhaven",52.91,10.56,558.65,12.85,292.6,0.2,2997,0.713,56.07,"None",0.623,6.31,997,352.8,"@ anomaly",27499.6
2017,"Peaches","Redhaven",422.32,8.84,3732.56,18.43,319.3,0.19,2707,0.648,57.78,"None",0.673,9,1687,332,"@ missing-field flag",19477.48
2018,"Peaches","Redhaven",92.37,11.24,1038.17,25.19,293,0.27,3127,0.688,58.26,"Bacterial",0.612,6.77,3200,356.7,"@",24607.3
2019,"Peaches","Redhaven",205.23,3.71,761.12,19.8,260.7,0.53,3363,0.229,58.01,"Bacterial",0.507,8.45,2958,373.9,"@",8151.12
2020,"Peaches","Redhaven",131.25,9.47,1243.45,18.6,276.3,0.32,3185,0.582,56.55,"Bacterial",0.611,10.07,2434,336.3,"@ data entry check",26027
2022,"Peaches","Redhaven",419.81,8.71,3657.89,21.43,280.2,0.43,3201,0.543,57,"Bacterial",0.655,8.61,2945,346,"@",9373.42
2023,"Peaches","Redhaven",167.58,11.92,1997.55,23.26,344.2,0.38,2588,0.788,60.52,"Fungal",0.702,8.34,3222,350.8,"@ missing-field flag",
2023,"Peaches","Redhaven",167.58,11.92,1997.55,23.26,344.2,0.38,2588,0.788,62.27,"Fungal",0.702,8.34,3222,350.8,"@ missing-field flag",27155.27
2023,"Peaches","Redhaven",335.67,10.96,3678.94,14.4,244.7,0.58,3642,0.686,58.02,"Bacterial",0.499,9.72,1664,342.4,"@ anomaly",
2023,"Peaches","Redhaven",335.67,10.96,3678.94,14.4,244.7,0.58,3642,0.686,52.51,"Bacterial",0.499,9.72,1664,342.4,"@ anomaly",27155.27
1995,"Peaches","Springcrest",350.1,11.61,4063.52,14.46,294,0.44,3141,0.966,52.28,"Bacterial",0.616,7.54,1621,366.3,"@  reviewed",11337.52
1996,"Peaches","Springcrest",78.06,14.65,1143.52,16.32,302.4,0.41,2974,1.204,54.08,"Bacterial",0.654,7.95,1628,349.6,"@ missing-field flag",14799.07
1997,"Peaches","Springcrest",544.82,18.36,10001.44,19.82,311.9,0.31,2947,1.396,56.7,"Bacterial",0.657,9.84,2047,342,"@ missing-field flag",29582.27
1998,"Peaches","Springcrest",27.24,16.71,455.28,13.3,351.9,0.42,2575,1.291,58.1,"Fungal",0.701,9.65,1334,375.7,"@ missing-field flag",25732.99
1999,"Peaches","Springcrest",181.71,14.98,2721.8,14.42,285.9,0.39,3106,1.181,56.93,"Bacterial",0.583,8.34,1859,355.8,"@ ok",23800.63
2000,"Peaches","Springcrest",570.72,15.66,8936.64,19.86,347.7,0.45,2447,1.426,57.2,"Fungal",0.718,9.64,2929,345.6,"@",30913.17
2001,"Peaches","Springcrest",224.71,12.72,2859.28,12.76,338,0.32,2778,1.059,57.2,"Fungal",0.68,9.38,881,344.4,"@  reviewed",13280.2
2002,"Peaches","Springcrest",204.22,14.85,3032.92,14.77,340.6,0.35,2484,1.164,59.69,"Fungal",0.775,9.32,704,337.1,"@",33594.98
2003,"Peaches","Springcrest",241.23,20.61,4972.29,10.78,318.8,0.43,2941,1.646,56.37,"Bacterial",0.675,11.46,876,356.5,"@",42404.08
2004,"Peaches","Springcrest",171.04,10.63,1818.75,24.64,353.7,0.45,2407,0.832,58.24,"Fungal",0.723,8.5,3072,354.5,"@",20080.82
2005,"Peaches","Springcrest",315.19,12.71,4006.82,18.84,322.9,0.19,2783,0.918,59.34,"None",0.672,9.7,2119,365.8,"@ anomaly",26659.07
2006,"Peaches","Springcrest",189.35,12.4,2347.06,18.6,333.3,0.34,2689,0.993,62.7,"Fungal",0.756,9.71,2585,363.7,"@",20591.35
2007,"Peaches","Springcrest",139.85,12.73,1779.82,22.58,259.1,0.42,3318,0.977,61.02,"Bacterial",0.56,8.64,3253,362.3,"@",22705.77
2008,"Peaches","Springcrest",174.57,12.89,2249.82,13.77,392.3,0.16,2497,1.022,61,"None",0.783,7.4,1410,361.6,"@ missing-field flag",26079.6
2009,"Peaches","Springcrest",127.53,10.52,1341.71,23.73,282,0.41,3136,,59.55,"Bacterial",0.599,10.05,3156,354.4,"@ data entry check",20885.81
2010,"Peaches","Springcrest",451.92,8.12,3668.92,16.2,324.6,0.17,2881,0.605,60.96,"None",0.683,9.46,1448,342.3,"@",15056.82
2011,"Peaches","Springcrest",61.44,17.73,1089.11,18.46,259.1,0.41,3364,1.204,58.28,"Bacterial",0.587,9.06,2356,357.2,"@ anomaly",20267.64
2012,"Peaches","Springcrest",47.1,12.49,588.49,18.6,364.8,0.26,2498,0.91,60.75,"Fungal",0.78,9.14,2419,337.3,"@ data entry check",30217.13
2013,"Peaches","Springcrest",122.37,14.69,1797.76,22.54,341.7,0.34,2657,0.923,61.79,"Fungal",0.67,9.11,2669,350.5,"@ anomaly",14914.02
2014,"Peaches","Springcrest",23.92,10.73,256.57,17.24,302,0.34,2849,0.761,62.61,"Bacterial",0.652,7.69,1510,352.2,"@ ok",12378.97
2015,"Peaches","Springcrest",145.39,13.76,2000.18,18.51,289,0.51,3101,0.974,59.64,"Bacterial",0.68,9.46,2172,354.8,"@ missing-field flag",35885.75
2016,"Peaches","Springcrest",540.01,10.9,5888.33,12.85,292.6,0.2,2997,0.736,56.07,"None",0.623,6.31,997,352.8,"@ anomaly",27499.6
2017,"Peaches","Springcrest",226.21,7.67,1734.56,18.43,319.3,0.19,2707,0.562,57.78,"None",0.673,9,1687,332,"@ missing-field flag",19477.48
2018,"Peaches","Springcrest",511.16,12.05,6160.47,25.19,293,0.27,3127,0.737,58.26,"Bacterial",0.612,6.77,3200,356.7,"@",24607.3
2019,"Peaches","Springcrest",6.8,3.68,25,19.8,260.7,0.53,3363,0.227,58.01,"Bacterial",0.507,8.45,2958,373.9,"@",8151.12
2020,"Peaches","Springcrest",92.37,10.57,976.21,18.6,276.3,0.32,3185,0.65,56.55,"Bacterial",0.611,10.07,2434,336.3,"@ data entry check",26027
2022,"Peaches","Springcrest",74.81,8.43,630.74,21.43,280.2,0.43,3201,0.526,57,"Bacterial",0.655,8.61,2945,346,"@",9373.42
